Titulo Principal,Titulo Secundario,Autor,N° Ref
"Baden-Powell of Gilwell, Robert Stephenson Smyth Baden-Powell, Baron",,,111
"Thérèse, de Lisieux, Saint",,,111
"Balliet, Thomas M.",,,111
"Tozer, A. W.",,,110
"Leonardo, da Vinci",,,110
"Youmans, William Jay",,,110
"Rangelovska, Lidija",,,110
"Huxley, Aldous",,,110
"Maclaren, Alexander",,,110
"Weyman, Stanley John",,,110
"Wirt, Mildred A.",,,110
"Atherton, Gertrude Franklin Horn",,,109
"Berlioz, Hector",,,109
"Johnston, Harry",,,109
"Jacob, P. L.",,,109
"Wood, Henry, Mrs.",,,109
"Vaizey, George de Horne, Mrs.",,,109
"Brown, Charles Brockden",,,109
"Williamson, C. N.",,,109
"Beach, Rex",,,109
Héloïse,,,109
United States. National Park Service,,,109
"Zamiatin, Evgenii Ivanovich",,,109
"Hawthorne, Julian",,,108
"Hughes, Thomas",,,108
"Reinhardt, Louise",,,108
"Luce, Edmund",,,108
"Bradford, William",,,108
"Gruelle, Johnny",,,108
"Becke, Louis",,,108
"Leadbeater, C. W.",,,108
"Kock, Paul de",,,108
"Wattles, W. D.",,,108
"Arthur, T. S.",,,108
"Mackay, Charles",,,108
"Burns, Robert",,,107
"Mather, Cotton",,,107
"Doyle, Richard",,,107
"Hubbard, Elbert",,,107
"Hope, Anthony",,,107
"Hamsun, Knut",,,107
"Spillan, D.",,,107
"De Amicis, Edmondo",,,107
"Duellman, William Edward",,,106
"Curwood, James Oliver",,,106
"Paris, Paulin",,,106
"Bunner, H. C.",,,106
"Wilcox, Ella Wheeler",,,106
"Harvey, Alexander",,,106
"Crawford, M. M.",,,106
"Russell, William Clark",,,106
"Mitton, G. E.",,,105
"Craddock, Charles Egbert",,,105
"Merriman, Henry Seton",,,105
"Castlemon, Harry",,,105
"O'Neill, Eugene",,,105
"Petersham, Maud",,,105
"Petersham, Miska",,,105
"Pogány, Willy",,,105
"Laclos, Choderlos de",,,105
"Wallace, Edgar",,,104
"Rowson, Mrs.",,,104
Eiríkr Magnússon,,,104
"Fletcher, J. S.",,,104
"Mansfield, M. F.",,,104
"Pliny, the Elder",,,104
"Frost, A. B.",,,103
"Wise, Thomas James",,,103
"Robinson, Charles",,,103
"Miall, Bernard",,,103
"Mandeville, John, Sir",,,103
"Doctorow, Cory",,,103
"Blackmore, R. D.",,,103
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,34964
Pride and Prejudice,,Jane Austen,18199
Romeo and Juliet,,William Shakespeare,18109
Moby Dick,The Whale,"Dick; Or, The Whale by Herman Melville",17698
Middlemarch,,George Eliot,12791
The Complete Works of William Shakespeare,,William Shakespeare,12448
The Scarlet Letter,,Nathaniel Hawthorne,12433
A Room with a View,,E. M.  Forster,12404
Alice's Adventures in Wonderland,,Lewis Carroll,12045
Little Women,"Meg, Jo, Beth, and Amy",Louisa May Alcott,11726
The Blue Castle: a novel,,L. M.  Montgomery,10629
The Enchanted April,,Elizabeth Von Arnim,10621
Cranford,,Elizabeth Cleghorn Gaskell,9858
The Adventures of Ferdinand Count Fathom — Complete,,T.  Smollett,9835
The Expedition of Humphry Clinker,,T.  Smollett,9729
"History of Tom Jones, a Foundling",,Henry Fielding,9664
The Adventures of Roderick Random,,T.  Smollett,9530
My Life — Volume 1,,Richard Wagner,9442
Twenty years after,,Alexandre Dumas and Auguste Maquet,9424
A Doll's House : a play,,Henrik Ibsen,8744
Dracula,,Bram Stoker,8095
The Legend of Sleepy Hollow,,Washington Irving,8083
The Picture of Dorian Gray,,Oscar Wilde,7962
The Great Gatsby,,by F. Scott  Fitzgerald,7483
Metamorphosis,,Franz Kafka,7453
Adventures of Huckleberry Finn,,Mark Twain,6885
The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,6627
The Yellow Wallpaper,,Charlotte Perkins Gilman,6490
The Importance of Being Earnest: A Trivial Comedy for Serious People,,Oscar Wilde,6097
A Modest Proposal,,Jonathan Swift,5844
Leviathan,,Thomas Hobbes,5660
A Tale of Two Cities,,Charles Dickens,5569
Crime and Punishment,,Fyodor Dostoyevsky,5470
Beowulf: An Anglo-Saxon Epic Poem,,,5317
The Souls of Black Folk,,W. E. B.  Du Bois,5245
A Christmas Carol in Prose; Being a Ghost Story of Christmas,,Charles Dickens,5143
Great Expectations,,Charles Dickens,4717
The Adventures of Sherlock Holmes,,Arthur Conan Doyle,4688
Thus Spake Zarathustra: A Book for All and None,,Friedrich Wilhelm Nietzsche,4550
The Brothers Karamazov,,Fyodor Dostoyevsky,4539
Jane Eyre: An Autobiography,,Charlotte Brontë,4511
The Prince,,Niccolò Machiavelli,4423
The Iliad,,Homer,4325
Ulysses,,James Joyce,4254
Second Treatise of Government,,John Locke,4251
Heart of Darkness,,Joseph Conrad,4190
Don Quijote,,Miguel de Cervantes Saavedra,4105
Grimms' Fairy Tales,,Jacob Grimm and Wilhelm Grimm,4099
"The Adventures of Tom Sawyer, Complete",,Mark Twain,3916
The Odyssey,,Homer,3823
The Count of Monte Cristo,,Alexandre Dumas and Auguste Maquet,3745
War and Peace,,graf Leo Tolstoy,3591
Beyond Good and Evil,,Friedrich Wilhelm Nietzsche,3591
The Confessions of St. Augustine,,Bishop of Hippo Saint Augustine,3527
Wuthering Heights,,Emily Brontë,3442
Tractatus Logico-Philosophicus,,Ludwig Wittgenstein,3438
Chambers's Twentieth Century Dictionary,,,3379
"Narrative of the Life of Frederick Douglass, an American Slave",,Frederick Douglass,3280
Du côté de chez Swann,,Marcel Proust,3249
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African","Gustavus Vassa, The African",Equiano,3237
The Republic,,Plato,3170
"Walden, and On The Duty Of Civil Disobedience",,Henry David Thoreau,3157
Don Quixote,,Miguel de Cervantes Saavedra,3097
The Works of Edgar Allan Poe — Volume 2,,Edgar Allan Poe,3023
Calculus Made Easy,,Silvanus P.  Thompson,2987
The King in Yellow,,Robert W.  Chambers,2976
White Nights and Other Stories,,Fyodor Dostoyevsky,2974
The Kama Sutra of Vatsyayana,,Vatsyayana,2953
A Study in Scarlet,,Arthur Conan Doyle,2922
The Nuttall Encyclopædia,,P. Austin Nuttall,2888
Anne of Green Gables,,L. M.  Montgomery,2826
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,2822
Doctrina Christiana,,,2820
Dubliners,,James Joyce,2769
The Romance of Lust: A classic Victorian erotic novel,,Anonymous,2739
Carmilla,,Joseph Sheridan Le Fanu,2726
Le Morte d'Arthur: Volume 1,,Sir Thomas Malory,2703
Little Women,,Louisa May Alcott,2688
On Liberty,,John Stuart Mill,2662
The divine comedy,,Dante Alighieri,2654
The Hound of the Baskervilles,,Arthur Conan Doyle,2636
Josefine Mutzenbacher,,Felix Salten,2507
Plays,,Susan Glaspell,2436
The Tragical History of Doctor Faustus,,Christopher Marlowe,2404
"Great short stories, Volume 1",,,2386
Winnie-the-Pooh,,A. A.  Milne,2374
Cookery and Dining in Imperial Rome,,Apicius,2342
The Devil is an Ass,,Ben Jonson,2301
Oliver Twist,,Charles Dickens,2228
Treasure Island,,Robert Louis Stevenson,2212
Les misérables Tome I: Fantine,,Victor Hugo,2211
"Spenser's The Faerie Queene, Book I",,Edmund Spenser,2182
Peter Pan,,J. M.  Barrie,2178
The Wonderful Wizard of Oz,,L. Frank  Baum,2177
"The story of the universe, told",,great scientists and popular authors. Volume 1,2157
"""No place like home""",,Hesba Stretton,2137
The History of the Peloponnesian War,,Thucydides,2123
"An Essay Concerning Humane Understanding, Volume 1",,John Locke,2120
Meditations,,Emperor of Rome Marcus Aurelius,2116
The Ethics of Aristotle,,Aristotle,2114
Les Misérables,,Victor Hugo,2109
The Problems of Philosophy,,Bertrand Russell,2109
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,2067
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,,Mary White Rowlandson,2059
Candide,,Voltaire,2050
Autobiography of Benjamin Franklin,,Benjamin Franklin,2046
Oedipus King of Thebes,,Sophocles,2032
The First Book of Adam and Eve,,Rutherford Hayes Platt,2023
Noli Me Tangere,,José Rizal,1984
Sense and Sensibility,,Jane Austen,1972
The Life and Adventures of Robinson Crusoe,,Daniel Defoe,1956
The Philippines a Century Hence,,José Rizal,1944
The murder of Roger Ackroyd,,Agatha Christie,1942
The Critique of Pure Reason,,Immanuel Kant,1936
Novo dicionário da língua portuguesa,,Cândido de Figueiredo,1920
"The Rámáyan of Válmíki, translated into English verse",,Valmiki,1920
Notes from the Underground,,Fyodor Dostoyevsky,1918
"Great short stories, Volume 3",,,1914
The Prophet,,Kahlil Gibran,1914
Madame Bovary,,Gustave Flaubert,1887
Emma,,Jane Austen,1852
David Copperfield,,Charles Dickens,1849
The Art of War,,active 6th century B.C. Sunzi,1841
Pascal's Pensées,,Blaise Pascal,1834
"Incidents in the Life of a Slave Girl, Written",,Herself by Harriet A.  Jacobs,1814
"Hamlet, Prince of Denmark",,William Shakespeare,1812
An Inquiry into the Nature and Causes of the Wealth of Nations,,Adam Smith,1805
Pygmalion,,Bernard Shaw,1772
Gulliver's Travels into Several Remote Nations of the World,,Jonathan Swift,1768
The War of the Worlds,,H. G.  Wells,1741
The golden rule,,Madeline Leslie,1719
Tribute to Michael Hart,,Majid AlHydar,1700
The King James Version of the Bible,,,1679
A Portrait of the Artist as a Young Man,,James Joyce,1676
Through the Looking-Glass,,Lewis Carroll,1668
The Elements of Style,,William Strunk,1652
Lysistrata,,Aristophanes,1627
"The Metamorphoses of Ovid, Books I-VII",,Ovid,1617
The Turn of the Screw,,Henry James,1589
Anna Karenina,,graf Leo Tolstoy,1582
The Reign of Greed,,José Rizal,1579
Diccionario Ingles-Español-Tagalog,,Sofronio G. Calderón,1575
A Christmas Carol,,Charles Dickens,1558
"Great short stories, Volume 2",,,1551
The Secret Garden,,Frances Hodgson Burnett,1543
Faust [part 1]. Translated Into English in the Original Metres,,Johann Wolfgang von Goethe,1536
Don Juan,,Baron George Gordon Byron Byron,1508
The call of the wild,,Jack London,1475
The Ten Books on Architecture,,Vitruvius Pollio,1467
Notre-Dame de Paris - Tome 1,,Victor Hugo,1464
The Time Machine,,H. G.  Wells,1464
The Sorrows of Young Werther,,Johann Wolfgang von Goethe,1454
Essays of Michel de Montaigne — Complete,,Michel de Montaigne,1444
Ethics,,Benedictus de Spinoza,1441
Phaedrus,,Plato,1434
Northanger Abbey,,Jane Austen,1427
The Vampyre; a Tale,,John William Polidori,1425
"The Birth of Tragedy; or, Hellenism and Pessimism",,Friedrich Wilhelm Nietzsche,1421
Paradise Lost,,John Milton,1410
Hard Times,,Charles Dickens,1408
The Sign of the Four,,Arthur Conan Doyle,1402
Struwwelpeter: Merry Stories and Funny Pictures,,Heinrich Hoffmann,1398
Memoirs of Fanny Hill,,John Cleland,1392
Antiquities of the Jews,,Flavius Josephus,1383
"The Awakening, and Selected Short Stories",,Kate Chopin,1378
The Social Cancer: A Complete English Version of Noli Me Tangere,,José Rizal,1372
The Genealogy of Morals,,Friedrich Wilhelm Nietzsche,1369
The Consolation of Philosophy,,Boethius,1368
Sir Gawayne and the Green Knight,,,1362
On War,,Carl von Clausewitz,1360
Persuasion,,Jane Austen,1352
How the Other Half Lives: Studies Among the Tenements of New York,,Jacob A.  Riis,1349
Childe Harold's Pilgrimage,,Baron George Gordon Byron Byron,1348
"The lesser Key of Solomon, Goetia, the book of evil spirits :",,,1344
On the Origin of Species By Means of Natural Selection,,Charles Darwin,1325
The Age of the Reformation,,Preserved Smith,1314
2 B R 0 2 B,,Kurt Vonnegut,1308
An Enquiry Concerning Human Understanding,,David Hume,1306
"Chaucer's Works, Volume 4 — The Canterbury Tales",,Geoffrey Chaucer,1295
David goes voyaging,,David Binney Putnam,1293
The Jungle,,Upton Sinclair,1280
The Sailor's Word-Book,,W. H.  Smyth,1279
Anthem,,Ayn Rand,1278
Common Sense,,Thomas Paine,1276
"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",,,1267
The Jungle Book,,Rudyard Kipling,1266
"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1",,,1262
The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,1254
Ethan Frome,,Edith Wharton,1250
Bleak House,,Charles Dickens,1246
A Military Dictionary and Gazetteer,,Thomas Wilhelm,1244
When freemen shall stand,,Nelson S. Bond,1242
The Castle of Otranto,,Horace Walpole,1238
One thousand books for children,,,1232
Siddhartha,,Hermann Hesse,1229
Songs of Innocence and of Experience,,William Blake,1221
"How to study ""The best short stories"" :",,Blanche Colton Williams,1221
Dao De Jing: A Minimalist Translation,,Laozi,1220
Sex problems of man in health and disease :,,Moses Scholtz,1213
The History of Herodotus — Volume 1,,Herodotus,1209
The Invisible Man: A Grotesque Romance,,H. G.  Wells,1202
Twenty Thousand Leagues under the Sea,,Jules Verne,1202
Myths and Legends of Ancient Greece and Rome,,E. M. Berens,1201
Hedda Gabler,,Henrik Ibsen,1200
The Prince and the Pauper,,Mark Twain,1198
Complete Original Short Stories of Guy De Maupassant,,Guy de Maupassant,1197
1001 задача для умственного счета,,Sergei Aleksandrovich Rachinskii,1193
Democracy in America — Volume 1,,Alexis de Tocqueville,1192
Baron Trump's Marvellous Underground Journey,,Ingersoll Lockwood,1191
Uncle Tom's Cabin,,Harriet Beecher Stowe,1183
The Red Record,,Ida B. Wells-Barnett,1177
The Works of Edgar Allan Poe — Volume 1,,Edgar Allan Poe,1161
The Sea-Gull,,Anton Pavlovich Chekhov,1158
"Poems, with The Ballad of Reading Gaol",,Oscar Wilde,1158
Aldyth's inheritance,,Eglanton Thorne,1154
Aesop's Fables; a new translation,,Aesop,1134
Three Men in a Boat,,Jerome K.  Jerome,1131
The Communist Manifesto,,Friedrich Engels and Karl Marx,1131
A Pickle for the Knowing Ones,,Timothy Dexter,1118
"Hamlet, Prince of Denmark",,William Shakespeare,1114
Mi Ultimo Adiós,,José Rizal,1102
The Jewish State,,Theodor Herzl,1102
I. Beówulf: an Anglo-Saxon poem. II. The fight at Finnsburh: a fragment.,,,1096
Korean—English Dictionary,,Leon Kuperman,1086
The Tempest,,William Shakespeare,1085
Symposium,,Plato,1083
The Iliad,,Homer,1082
Nature,,Ralph Waldo Emerson,1078
The Red Room,,H. G.  Wells,1078
El paraíso perdido,,John Milton,1077
La Odisea,,Homer,1069
Anabasis,,Xenophon,1066
The Innocents Abroad,,Mark Twain,1060
The Republic of Plato,,Plato,1053
Macbeth,,William Shakespeare,1047
De Profundis,,Oscar Wilde,1047
A Connecticut Yankee in King Arthur's Court,,Mark Twain,1046
The rhyme and reason of country life :,,,1043
The Trial,,Franz Kafka,1042
The Marriage of Heaven and Hell,,William Blake,1038
"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist",,Nietzsche,1035
A Concise Dictionary of Middle English from A.D. 1150 to 1580,,A. L.  Mayhew and Walter W.  Skeat,1021
The Idiot,,Fyodor Dostoyevsky,1020
Perpetual Peace: A Philosophical Essay,,Immanuel Kant,1019
Les trois mousquetaires,,Alexandre Dumas and Auguste Maquet,1013
The Earliest Arithmetics in English,,,1011
In Praise of Folly,,Desiderius Erasmus,1011
Just so stories,,Rudyard Kipling,1010
Trois femmes,,Pierre Mille,1002
The art of money getting :,,P. T.  Barnum,1000
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,,,994
Mosses from an old manse,,Nathaniel Hawthorne,994
The 2008 CIA World Factbook,,United States. Central Intelligence Agency,992
The History of the Decline and Fall of the Roman Empire,,Edward Gibbon,990
Tess of the d'Urbervilles: A Pure Woman,,Thomas Hardy,983
The Lady with the Dog and Other Stories,,Anton Pavlovich Chekhov,980
The Poetics of Aristotle,,Aristotle,977
Die Verwandlung,,Franz Kafka,976
The island of Doctor Moreau,,H. G.  Wells,970
"The Thousand and One Nights, Vol. I.",,,965
"Le comte de Monte-Cristo, Tome I",,Alexandre Dumas and Auguste Maquet,965
Southern Horrors: Lynch Law in All Its Phases,,Ida B. Wells-Barnett,964
Cyclopedia of illustrations for public speakers :,,,962
The Eyes Have It,,Philip K. Dick,950
The Flowers of Evil,,Charles Baudelaire,948
The Duchess of Malfi,,John Webster,946
The Phantom of the Opera,,Gaston Leroux,940
Les Fleurs du Mal,,Charles Baudelaire,939
Cape Cod,,F. Mitchell,935
A First Spanish Reader,,Alfred Remy and Erwin W.  Roessler,934
"Ang ""Filibusterismo""",,José Rizal,931
The Mysterious Affair at Styles,,Agatha Christie,928
A History of the Philippines,,David P. Barrows,921
Heavens and Earth :,,Stephen Vincent Benét,917
The Travels of Marco Polo — Volume 1,,Marco Polo and da Pisa Rusticiano,915
The Sun Also Rises,,Ernest Hemingway,911
The Pickwick Papers,,Charles Dickens,911
Mrs. Dalloway,,Virginia Woolf,910
The Decameron of Giovanni Boccaccio,,Giovanni Boccaccio,909
White Fang,,Jack London,900
Charmes,,Paul Valéry,896
"The Philippine Islands, 1493-1898 — Volume 07 of 55",,,896
"The City of God, Volume I",,Bishop of Hippo Saint Augustine,895
A Midsummer Night's Dream,,William Shakespeare,894
Bede's Ecclesiastical History of England,,Saint the Venerable Bede,893
R.U.R.,,Karel Čapek,891
Utopia,,Saint Thomas More,890
Apology,,Plato,887
The Antichrist,,Friedrich Wilhelm Nietzsche,880
Around the World in Eighty Days,,Jules Verne,878
"Bartleby, the Scrivener: A Story of Wall-Street",,Herman Melville,876
Mansfield Park,,Jane Austen,870
Medea of Euripides,,Euripides,868
Roget's Thesaurus of English Words and Phrases,,Peter Mark Roget,868
"Divine Comedy, Longfellow's Translation, Hell",,Dante Alighieri,864
A journey over land to India,,Donald Campbell,861
"Presidential addresses and state papers, Volume 1",,Theodore Roosevelt,860
The possessed :,,Fyodor Dostoyevsky,859
The Song Celestial,,,856
Notre-Dame de Paris,,Victor Hugo,853
The Enchiridion,,Epictetus,851
The Social Contract & Discourses,,Jean-Jacques Rousseau,850
The Devil's Dictionary,,Ambrose Bierce,850
"The Philippine Islands, 1493-1898, Volume 33, 1519-1522",,Antonio Pigafetta,845
"A new, practical and easy method of learning the Portuguese language",,F.  Ahn,840
The Pilgrim's Progress from this world to that which is to come,,John Bunyan,839
On the Duty of Civil Disobedience,,Henry David Thoreau,838
Belinda of the Red Cross,,Robert W. Hamilton,834
An Occurrence at Owl Creek Bridge,,Ambrose Bierce,832
The Monkey's Paw,,W. W.  Jacobs,830
The Merchant of Venice,,William Shakespeare,830
Daddy Takes Us to the Garden,,Howard Roger Garis,828
Leaves of Grass,,Walt Whitman,824
The Federalist Papers,,Alexander Hamilton and John Jay and James Madison,823
Moby Word Lists,,Word Lists by Grady Ward,821
"The Ladies' Book of Etiquette, and Manual of Politeness",,Florence Hartley,808
North and South,,Elizabeth Cleghorn Gaskell,808
The Age of Innocence,,Edith Wharton,806
The Lives and Opinions of Eminent Philosophers,,Diogenes Laertius,805
Life on the Mississippi,,Mark Twain,801
Phaedo,,Plato,799
The Anabasis of Alexander,,Arrian,796
The Grand Inquisitor,,Fyodor Dostoyevsky,796
Uncle Vanya: Scenes from Country Life in Four Acts,,Anton Pavlovich Chekhov,791
The Tale of Peter Rabbit,,Beatrix Potter,790
The Cask of Amontillado,,Edgar Allan Poe,776
"The Happy Prince, and Other Tales",,Oscar Wilde,776
"The History of Don Quixote, Volume 1, Complete",,Miguel de Cervantes Saavedra,774
The Online World,,Odd De Presno,774
The Fall of the House of Usher,,Edgar Allan Poe,773
The Tenniel Illustrations for Carroll's Alice in Wonderland,,John Tenniel,772
"Fornander collection of Hawaiian antiquities and folk-lore, Volume 3",,,772
Der Struwwelpeter,,Heinrich Hoffmann,772
Essays,,Ralph Waldo Emerson by Ralph Waldo Emerson,770
A Little Princess,,Frances Hodgson Burnett,769
The Aeneid,,Virgil,768
The Wendigo,,Algernon Blackwood,765
Twelve Years a Slave,,Solomon Northup,765
The Red Badge of Courage: An Episode of the American Civil War,,Stephen Crane,764
"The Will to Believe, and Other Essays in Popular Philosophy",,William James,762
Christmas in Storyland,,,757
Philippine Folk Tales,,,756
An Essay on Man; Moral Essays and Satires,,Alexander Pope,754
A Journey to the Centre of the Earth,,Jules Verne,754
"1900; or, The last President",,Ingersoll Lockwood,753
Democracy in America — Volume 2,,Alexis de Tocqueville,750
"The Lives of the Twelve Caesars, Complete",,Suetonius,744
The Alchemist,,Ben Jonson,742
Helps to Latin Translation at Sight,,Edmund Luce,740
Friesland,,Jac. P.  Thijsse,739
La Divina Comedia,,Dante Alighieri,733
Fox's Book of Martyrs,,John Foxe,722
The Satyricon — Complete,,Petronius Arbiter,720
Gorgias,,Plato,717
Something of Men I Have Known,,Adlai E.  Stevenson,713
We,,Evgenii Ivanovich Zamiatin,713
The three musketeers,,Alexandre Dumas and Auguste Maquet,712
Much Ado about Nothing,,William Shakespeare,709
Os Lusíadas,,Luís de Camões,709
The Elementary Forms of the Religious Life,,Émile Durkheim,708
The Valley of Fear,,Arthur Conan Doyle,707
The House of Mirth,,Edith Wharton,707
Poems,,"Emily Dickinson, Three Series, Complete by Emily Dickinson",704
The Declaration of Independence of the United States of America,,Thomas Jefferson,704
Twelfth Night,What You Will,William Shakespeare,701
Best Russian Short Stories,,,699
The Lady of the Lake,,Walter Scott,698
A passage to India,,E. M.  Forster,697
Cyrano de Bergerac,,Edmond Rostand,694
"The Rape of the Lock, and Other Poems",,Alexander Pope,693
The Picture of Dorian Gray,,Oscar Wilde,692
Submerged forests,,Clement Reid,689
A Treatise of Human Nature,,David Hume,688
The Pursuit of God,,A. W.  Tozer,687
"Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth",,A. C.  Bradley,685
The Wars of the Jews,The History of the Destruction of Jerusalem,Flavius Josephus,684
Anne of the Island,,L. M.  Montgomery,681
Project Gutenberg Compilation of Short Stories,,Chekhov by Anton Pavlovich Chekhov,681
Andersen's Fairy Tales,,H. C.  Andersen,681
"The Doré Bible Gallery, Complete",,,679
A Dictionary of Cebuano Visayan,,John U. Wolff,672
The 2007 CIA World Factbook,,United States. Central Intelligence Agency,671
Swann's Way,,Marcel Proust,670
Alice's Adventures in Wonderland,,Lewis Carroll,668
Y Gododin: A Poem of the Battle of Cattraeth,,Aneirin,668
A Journal of the Plague Year,,Daniel Defoe,667
Poirot Investigates,,Agatha Christie,664
The Masque of the Red Death,,Edgar Allan Poe,663
"The History of Rome, Books 01 to 08",,Livy,662
Doña Perfecta,,Benito Pérez Galdós,662
Darkwater: Voices from Within the Veil,,W. E. B.  Du Bois,662
Rizal's own story of his life,,José Rizal,661
The Mysteries of Udolpho,,Ann Ward Radcliffe,659
The Adventures of Pinocchio,,Carlo Collodi,654
The Last of the Mohicans; A narrative of 1757,,James Fenimore Cooper,653
The Gilded Age: A Tale of Today,,Mark Twain and Charles Dudley Warner,653
"Arsène Lupin, gentleman-cambrioleur",,Maurice Leblanc,652
