Titulo Principal,Titulo Secundario,Autor,N° Ref
Calculus Made Easy,,Silvanus P.  Thompson,2998
The Kama Sutra of Vatsyayana,,Vatsyayana,2992
A Study in Scarlet,,Arthur Conan Doyle,2948
Anne of Green Gables,,L. M.  Montgomery,2917
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,2858
Dubliners,,James Joyce,2805
Little Women,,Louisa May Alcott,2737
The Romance of Lust: A classic Victorian erotic novel,,Anonymous,2731
The Hound of the Baskervilles,,Arthur Conan Doyle,2685
Le Morte d'Arthur: Volume 1,,Sir Thomas Malory,2677
Carmilla,,Joseph Sheridan Le Fanu,2662
The divine comedy,,Dante Alighieri,2653
On Liberty,,John Stuart Mill,2641
Josefine Mutzenbacher,,Felix Salten,2520
"Great short stories, Volume 1",,,2499
The Nuttall Encyclopædia,,P. Austin Nuttall,2498
Plays,,Susan Glaspell,2465
The Tragical History of Doctor Faustus,,Christopher Marlowe,2451
The Devil is an Ass,,Ben Jonson,2436
Cookery and Dining in Imperial Rome,,Apicius,2372
Winnie-the-Pooh,,A. A.  Milne,2361
"The story of the universe, told",,great scientists and popular authors. Volume 1,2240
Oliver Twist,,Charles Dickens,2232
Les misérables Tome I: Fantine,,Victor Hugo,2227
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,2214
The Wonderful Wizard of Oz,,L. Frank  Baum,2214
Treasure Island,,Robert Louis Stevenson,2196
Peter Pan,,J. M.  Barrie,2191
"An Essay Concerning Humane Understanding, Volume 1",,John Locke,2167
Les Misérables,,Victor Hugo,2166
"Spenser's The Faerie Queene, Book I",,Edmund Spenser,2162
Meditations,,Emperor of Rome Marcus Aurelius,2143
The Problems of Philosophy,,Bertrand Russell,2135
Candide,,Voltaire,2132
Noli Me Tangere,,José Rizal,2106
Autobiography of Benjamin Franklin,,Benjamin Franklin,2104
The History of the Peloponnesian War,,Thucydides,2101
The Ethics of Aristotle,,Aristotle,2086
Oedipus King of Thebes,,Sophocles,2067
The First Book of Adam and Eve,,Rutherford Hayes Platt,2063
The Philippines a Century Hence,,José Rizal,2047
"The Rámáyan of Válmíki, translated into English verse",,Valmiki,2007
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,,Mary White Rowlandson,1993
"Great short stories, Volume 3",,,1987
The Critique of Pure Reason,,Immanuel Kant,1980
Sense and Sensibility,,Jane Austen,1979
The Prophet,,Kahlil Gibran,1964
The murder of Roger Ackroyd,,Agatha Christie,1961
The Life and Adventures of Robinson Crusoe,,Daniel Defoe,1955
Novo dicionário da língua portuguesa,,Cândido de Figueiredo,1949
Notes from the Underground,,Fyodor Dostoyevsky,1927
David Copperfield,,Charles Dickens,1923
Gulliver's Travels into Several Remote Nations of the World,,Jonathan Swift,1904
Madame Bovary,,Gustave Flaubert,1880
"Incidents in the Life of a Slave Girl, Written",,Herself by Harriet A.  Jacobs,1867
The Art of War,,active 6th century B.C. Sunzi,1855
"Hamlet, Prince of Denmark",,William Shakespeare,1851
An Inquiry into the Nature and Causes of the Wealth of Nations,,Adam Smith,1849
Emma,,Jane Austen,1848
The War of the Worlds,,H. G.  Wells,1824
Pascal's Pensées,,Blaise Pascal,1819
The King James Version of the Bible,,,1733
Pygmalion,,Bernard Shaw,1716
Tribute to Michael Hart,,Majid AlHydar,1715
A Portrait of the Artist as a Young Man,,James Joyce,1709
"The Metamorphoses of Ovid, Books I-VII",,Ovid,1678
Through the Looking-Glass,,Lewis Carroll,1672
The Elements of Style,,William Strunk,1654
The Turn of the Screw,,Henry James,1650
Lysistrata,,Aristophanes,1625
"Great short stories, Volume 2",,,1620
A Christmas Carol,,Charles Dickens,1611
Diccionario Ingles-Español-Tagalog,,Sofronio G. Calderón,1587
Anna Karenina,,graf Leo Tolstoy,1577
The Reign of Greed,,José Rizal,1572
The Wolf-slayer; [Margaret Kaurner],,Christoph von Schmid,1541
Faust [part 1]. Translated Into English in the Original Metres,,Johann Wolfgang von Goethe,1537
The Time Machine,,H. G.  Wells,1528
The Secret Garden,,Frances Hodgson Burnett,1525
Don Juan,,Baron George Gordon Byron Byron,1488
呻吟語,,Kun Lü,1471
Notre-Dame de Paris - Tome 1,,Victor Hugo,1470
Northanger Abbey,,Jane Austen,1469
The Genealogy of Morals,,Friedrich Wilhelm Nietzsche,1468
The Social Cancer: A Complete English Version of Noli Me Tangere,,José Rizal,1453
"The Birth of Tragedy; or, Hellenism and Pessimism",,Friedrich Wilhelm Nietzsche,1451
The call of the wild,,Jack London,1441
Struwwelpeter: Merry Stories and Funny Pictures,,Heinrich Hoffmann,1436
Persuasion,,Jane Austen,1429
Essays of Michel de Montaigne — Complete,,Michel de Montaigne,1429
Ethics,,Benedictus de Spinoza,1421
The Vampyre; a Tale,,John William Polidori,1419
Phaedrus,,Plato,1414
Memoirs of Fanny Hill,,John Cleland,1413
When freemen shall stand,,Nelson S. Bond,1411
The Age of the Reformation,,Preserved Smith,1411
The Sign of the Four,,Arthur Conan Doyle,1409
"The lesser Key of Solomon, Goetia, the book of evil spirits :",,,1407
The Sorrows of Young Werther,,Johann Wolfgang von Goethe,1397
Sir Gawayne and the Green Knight,,,1394
The Ten Books on Architecture,,Vitruvius Pollio,1384
Antiquities of the Jews,,Flavius Josephus,1381
Hard Times,,Charles Dickens,1374
On the Origin of Species By Means of Natural Selection,,Charles Darwin,1373
Paradise Lost,,John Milton,1351
Childe Harold's Pilgrimage,,Baron George Gordon Byron Byron,1347
An Enquiry Concerning Human Understanding,,David Hume,1344
On War,,Carl von Clausewitz,1334
David goes voyaging,,David Binney Putnam,1334
2 B R 0 2 B,,Kurt Vonnegut,1324
The Consolation of Philosophy,,Boethius,1316
"The Awakening, and Selected Short Stories",,Kate Chopin,1314
"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",,,1313
Common Sense,,Thomas Paine,1303
The Jungle,,Upton Sinclair,1295
Ethan Frome,,Edith Wharton,1293
"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1",,,1292
How the Other Half Lives: Studies Among the Tenements of New York,,Jacob A.  Riis,1285
Anthem,,Ayn Rand,1284
Myths and Legends of Ancient Greece and Rome,,E. M. Berens,1284
One thousand books for children,,,1281
"Chaucer's Works, Volume 4 — The Canterbury Tales",,Geoffrey Chaucer,1281
Anabasis,,Xenophon,1275
"How to study ""The best short stories"" :",,Blanche Colton Williams,1274
Twenty Thousand Leagues under the Sea,,Jules Verne,1271
The Castle of Otranto,,Horace Walpole,1266
The Jungle Book,,Rudyard Kipling,1263
Sex problems of man in health and disease :,,Moses Scholtz,1262
The Prince and the Pauper,,Mark Twain,1261
Siddhartha,,Hermann Hesse,1247
Songs of Innocence and of Experience,,William Blake,1244
The Invisible Man: A Grotesque Romance,,H. G.  Wells,1244
Bleak House,,Charles Dickens,1241
The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,1238
"Hamlet, Prince of Denmark",,William Shakespeare,1238
1001 задача для умственного счета,,Sergei Aleksandrovich Rachinskii,1235
Uncle Tom's Cabin,,Harriet Beecher Stowe,1234
Baron Trump's Marvellous Underground Journey,,Ingersoll Lockwood,1227
Dao De Jing: A Minimalist Translation,,Laozi,1222
The History of Herodotus — Volume 1,,Herodotus,1221
Democracy in America — Volume 1,,Alexis de Tocqueville,1208
The Pursuit of God,,A. W.  Tozer,1203
"Poems, with The Ballad of Reading Gaol",,Oscar Wilde,1200
Hedda Gabler,,Henrik Ibsen,1191
Complete Original Short Stories of Guy De Maupassant,,Guy de Maupassant,1186
The Sea-Gull,,Anton Pavlovich Chekhov,1173
The Red Record,,Ida B. Wells-Barnett,1167
The Communist Manifesto,,Friedrich Engels and Karl Marx,1162
The Works of Edgar Allan Poe — Volume 1,,Edgar Allan Poe,1159
Aesop's Fables; a new translation,,Aesop,1147
The Sailor's Word-Book,,W. H.  Smyth,1140
The Decameron of Giovanni Boccaccio,,Giovanni Boccaccio,1139
The Earliest Arithmetics in English,,,1132
Cyclopedia of illustrations for public speakers :,,,1128
A Pickle for the Knowing Ones,,Timothy Dexter,1127
De Profundis,,Oscar Wilde,1123
Three Men in a Boat,,Jerome K.  Jerome,1120
Nature,,Ralph Waldo Emerson,1120
Mi Ultimo Adiós,,José Rizal,1100
The Red Room,,H. G.  Wells,1099
The Jewish State,,Theodor Herzl,1098
El paraíso perdido,,John Milton,1088
I. Beówulf: an Anglo-Saxon poem. II. The fight at Finnsburh: a fragment.,,,1086
La Odisea,,Homer,1082
Korean—English Dictionary,,Leon Kuperman,1078
The Iliad,,Homer,1075
The Innocents Abroad,,Mark Twain,1073
Symposium,,Plato,1071
The rhyme and reason of country life :,,,1069
Heavens and Earth :,,Stephen Vincent Benét,1067
The Tempest,,William Shakespeare,1067
The Idiot,,Fyodor Dostoyevsky,1062
The Marriage of Heaven and Hell,,William Blake,1057
Wood-folk comedies :,,William J.  Long,1052
A Military Dictionary and Gazetteer,,Thomas Wilhelm,1047
The Republic of Plato,,Plato,1044
Die Verwandlung,,Franz Kafka,1043
The Trial,,Franz Kafka,1040
Daddy Takes Us to the Garden,,Howard Roger Garis,1035
Macbeth,,William Shakespeare,1027
Perpetual Peace: A Philosophical Essay,,Immanuel Kant,1024
"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist",,Nietzsche,1021
The Duchess of Malfi,,John Webster,1013
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,,,1011
The Lady with the Dog and Other Stories,,Anton Pavlovich Chekhov,1005
Just so stories,,Rudyard Kipling,1005
Trois femmes,,Pierre Mille,998
In Praise of Folly,,Desiderius Erasmus,991
The Poetics of Aristotle,,Aristotle,985
The island of Doctor Moreau,,H. G.  Wells,985
Southern Horrors: Lynch Law in All Its Phases,,Ida B. Wells-Barnett,979
A Concise Dictionary of Middle English from A.D. 1150 to 1580,,A. L.  Mayhew and Walter W.  Skeat,978
"The Thousand and One Nights, Vol. I.",,,977
Mosses from an old manse,,Nathaniel Hawthorne,977
Les trois mousquetaires,,Alexandre Dumas and Auguste Maquet,977
Tess of the d'Urbervilles: A Pure Woman,,Thomas Hardy,973
Cape Cod,,F. Mitchell,968
The art of money getting :,,P. T.  Barnum,960
The History of the Decline and Fall of the Roman Empire,,Edward Gibbon,955
"Ang ""Filibusterismo""",,José Rizal,955
"Le comte de Monte-Cristo, Tome I",,Alexandre Dumas and Auguste Maquet,947
The Flowers of Evil,,Charles Baudelaire,945
The Mysterious Affair at Styles,,Agatha Christie,944
The Phantom of the Opera,,Gaston Leroux,940
The Social Contract & Discourses,,Jean-Jacques Rousseau,938
The Sun Also Rises,,Ernest Hemingway,933
A First Spanish Reader,,Alfred Remy and Erwin W.  Roessler,930
The Pickwick Papers,,Charles Dickens,929
The Travels of Marco Polo — Volume 1,,Marco Polo and da Pisa Rusticiano,928
Les Fleurs du Mal,,Charles Baudelaire,928
A History of the Philippines,,David P. Barrows,922
"The City of God, Volume I",,Bishop of Hippo Saint Augustine,922
R.U.R.,,Karel Čapek,919
White Fang,,Jack London,919
"""No place like home""",,Hesba Stretton,918
Utopia,,Saint Thomas More,917
Mrs. Dalloway,,Virginia Woolf,915
The Eyes Have It,,Philip K. Dick,914
Apology,,Plato,908
The Monkey's Paw,,W. W.  Jacobs,901
A Midsummer Night's Dream,,William Shakespeare,897
"Presidential addresses and state papers, Volume 1",,Theodore Roosevelt,894
The Antichrist,,Friedrich Wilhelm Nietzsche,891
Medea of Euripides,,Euripides,890
A journey over land to India,,Donald Campbell,889
"The Philippine Islands, 1493-1898 — Volume 07 of 55",,,888
The Enchiridion,,Epictetus,886
Around the World in Eighty Days,,Jules Verne,886
An Essay on Man; Moral Essays and Satires,,Alexander Pope,878
Mansfield Park,,Jane Austen,877
Left with a trust,,Nellie Hellis,876
"Divine Comedy, Longfellow's Translation, Hell",,Dante Alighieri,875
The Song Celestial,,,874
The possessed :,,Fyodor Dostoyevsky,874
Charmes,,Paul Valéry,866
On the Duty of Civil Disobedience,,Henry David Thoreau,864
Bede's Ecclesiastical History of England,,Saint the Venerable Bede,864
"A new, practical and easy method of learning the Portuguese language",,F.  Ahn,864
Belinda of the Red Cross,,Robert W. Hamilton,863
Tropical Africa,,Henry Drummond,856
A Connecticut Yankee in King Arthur's Court,,Mark Twain,854
The Age of Innocence,,Edith Wharton,844
Moby Word Lists,,Word Lists by Grady Ward,837
"Bartleby, the Scrivener: A Story of Wall-Street",,Herman Melville,836
The Anabasis of Alexander,,Arrian,834
"The Happy Prince, and Other Tales",,Oscar Wilde,834
The Devil's Dictionary,,Ambrose Bierce,829
The Grand Inquisitor,,Fyodor Dostoyevsky,824
The Merchant of Venice,,William Shakespeare,824
Leaves of Grass,,Walt Whitman,823
"The Philippine Islands, 1493-1898, Volume 33, 1519-1522",,Antonio Pigafetta,819
Notre-Dame de Paris,,Victor Hugo,818
North and South,,Elizabeth Cleghorn Gaskell,817
The Federalist Papers,,Alexander Hamilton and John Jay and James Madison,817
The Online World,,Odd De Presno,816
Phaedo,,Plato,815
The Cask of Amontillado,,Edgar Allan Poe,815
The Tale of Peter Rabbit,,Beatrix Potter,812
Uncle Vanya: Scenes from Country Life in Four Acts,,Anton Pavlovich Chekhov,810
The golden rule,,Madeline Leslie,803
Christmas in Storyland,,,802
Roget's Thesaurus of English Words and Phrases,,Peter Mark Roget,802
An Occurrence at Owl Creek Bridge,,Ambrose Bierce,802
"1900; or, The last President",,Ingersoll Lockwood,801
Life on the Mississippi,,Mark Twain,801
Twelve Years a Slave,,Solomon Northup,800
Something of Men I Have Known,,Adlai E.  Stevenson,794
"Fornander collection of Hawaiian antiquities and folk-lore, Volume 3",,,793
The Aeneid,,Virgil,793
The Lives and Opinions of Eminent Philosophers,,Diogenes Laertius,792
"The Ladies' Book of Etiquette, and Manual of Politeness",,Florence Hartley,791
The Fall of the House of Usher,,Edgar Allan Poe,784
"The History of Don Quixote, Volume 1, Complete",,Miguel de Cervantes Saavedra,783
Der Struwwelpeter,,Heinrich Hoffmann,781
Essays,,Ralph Waldo Emerson by Ralph Waldo Emerson,781
A Journey to the Centre of the Earth,,Jules Verne,781
The Tenniel Illustrations for Carroll's Alice in Wonderland,,John Tenniel,771
The Alchemist,,Ben Jonson,767
A Little Princess,,Frances Hodgson Burnett,766
Poems,,"Emily Dickinson, Three Series, Complete by Emily Dickinson",766
The Wendigo,,Algernon Blackwood,766
Friesland,,Jac. P.  Thijsse,761
The Red Badge of Courage: An Episode of the American Civil War,,Stephen Crane,755
The Declaration of Independence of the United States of America,,Thomas Jefferson,754
Democracy in America — Volume 2,,Alexis de Tocqueville,748
Philippine Folk Tales,,,745
Submerged forests,,Clement Reid,744
"Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth",,A. C.  Bradley,740
The Satyricon — Complete,,Petronius Arbiter,739
"The Lives of the Twelve Caesars, Complete",,Suetonius,736
Best Russian Short Stories,,,732
Helps to Latin Translation at Sight,,Edmund Luce,731
The Elementary Forms of the Religious Life,,Émile Durkheim,725
The Masque of the Red Death,,Edgar Allan Poe,723
The three musketeers,,Alexandre Dumas and Auguste Maquet,722
This Side of Paradise,,F. Scott  Fitzgerald,721
La Divina Comedia,,Dante Alighieri,720
The Last of the Mohicans; A narrative of 1757,,James Fenimore Cooper,720
The Lady of the Lake,,Walter Scott,720
Os Lusíadas,,Luís de Camões,718
Gorgias,,Plato,718
The Picture of Dorian Gray,,Oscar Wilde,718
Anne of the Island,,L. M.  Montgomery,717
A Journal of the Plague Year,,Daniel Defoe,710
We,,Evgenii Ivanovich Zamiatin,710
"The Rape of the Lock, and Other Poems",,Alexander Pope,706
Much Ado about Nothing,,William Shakespeare,704
Doña Perfecta,,Benito Pérez Galdós,704
Fox's Book of Martyrs,,John Foxe,703
The House of Mirth,,Edith Wharton,702
The Valley of Fear,,Arthur Conan Doyle,702
A passage to India,,E. M.  Forster,702
Project Gutenberg Compilation of Short Stories,,Chekhov by Anton Pavlovich Chekhov,701
The Wars of the Jews,The History of the Destruction of Jerusalem,Flavius Josephus,697
Rizal's own story of his life,,José Rizal,697
The Gilded Age: A Tale of Today,,Mark Twain and Charles Dudley Warner,694
Cyrano de Bergerac,,Edmond Rostand,694
Twelfth Night,What You Will,William Shakespeare,693
"The Doré Bible Gallery, Complete",,,689
"The History of Rome, Books 01 to 08",,Livy,688
Alice's Adventures in Wonderland,,Lewis Carroll,687
Andersen's Fairy Tales,,H. C.  Andersen,686
A Treatise of Human Nature,,David Hume,684
Salomé: A Tragedy in One Act,,Oscar Wilde,683
Rip Van Winkle,,Washington Irving,681
"The Will to Believe, and Other Essays in Popular Philosophy",,William James,681
The Divine Comedy of Dante Alighieri: The Inferno,,Dante Alighieri,680
Up from Slavery: An Autobiography,,Booker T. Washington,678
Swann's Way,,Marcel Proust,677
Poirot Investigates,,Agatha Christie,675
Peter and Wendy,,J. M.  Barrie,673
"The Mysterious Stranger, and Other Stories",,Mark Twain,670
The Interpretation of Dreams,,Sigmund Freud,669
Darkwater: Voices from Within the Veil,,W. E. B.  Du Bois,669
The Protocols and world revolution :,,Sergiei Nilus,665
The Railway Children,,E.  Nesbit,664
The Gift of the Magi,,O. Henry,662
Black Beauty,,Anna Sewell,662
A Vindication of the Rights of Woman,,Mary Wollstonecraft,661
"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",,Maurice Leblanc,659
A Dictionary of Cebuano Visayan,,John U. Wolff,657
The Book of the Courtier,,conte Baldassarre Castiglione,657
Ivanhoe: A Romance,,Walter Scott,653
An Enemy of the People,,Henrik Ibsen,652
Riders to the Sea,,J. M.  Synge,652
The Wind in the Willows,,Kenneth Grahame,651
The Analysis of Mind,,Bertrand Russell,650
A Course of Pure Mathematics,,G. H.  Hardy,650
Madame Bovary,,Gustave Flaubert,647
A Christmas Carol,,Charles Dickens,643
The Mysteries of Udolpho,,Ann Ward Radcliffe,642
Euthyphro,,Plato,640
Spanish Tales for Beginners,,,637
"Arsène Lupin, gentleman-cambrioleur",,Maurice Leblanc,636
雲形紋章,,John Meade Falkner,636
The Memoirs of Sherlock Holmes,,Arthur Conan Doyle,635
Vanity Fair,,William Makepeace Thackeray,634
The Adventures of Pinocchio,,Carlo Collodi,634
The Waste Land,,T. S.  Eliot,633
"Othello, the Moor of Venice",,William Shakespeare,629
How the shortage of skilled mechanics is being overcome,,training the unskilled,626
The Complete Herbal,,Nicholas Culpeper,626
Otto Speckter,,,624
"Bacon's Essays, and Wisdom of the Ancients",,Francis Bacon,623
Revelations of Divine Love,,,623
"On Heroes, Hero-Worship, and the Heroic in History",,Thomas Carlyle,623
The Beggar's Opera; to Which is Prefixed the Musick to Each Song,,John Gay,622
The Woman in White,,Wilkie Collins,621
The Aeneid of Virgil,,Virgil,619
How We Think,,John Dewey,618
Gulliver's Travels into Several Remote Regions of the World,,Jonathan Swift,616
"Personal Memoirs of U. S. Grant, Complete",,Ulysses S.  Grant,616
The Willows,,Algernon Blackwood,615
The Argonautica,,Rhodius Apollonius,614
Julius Caesar,,William Shakespeare,614
The Angel in the House,,Coventry Patmore,610
The 2008 CIA World Factbook,,United States. Central Intelligence Agency,607
Lycurgus :,,E. S. P.  Haynes,606
Our Mutual Friend,,Charles Dickens,604
Omens and Superstitions of Southern India,,Edgar Thurston,603
The Murder on the Links,,Agatha Christie,603
九命奇冤,,Jianren Wu,598
The Return of Sherlock Holmes,,Arthur Conan Doyle,596
Lamia,,John Keats,595
"The Garden Party, and Other Stories",,Katherine Mansfield,593
Life Is a Dream,,Pedro Calderón de la Barca,589
"Human, All Too Human: A Book for Free Spirits",,Friedrich Wilhelm Nietzsche,589
The Subjection of Women,,John Stuart Mill,588
Ecce Homo,,Friedrich Wilhelm Nietzsche,587
Fairy Tales of Hans Christian Andersen,,H. C.  Andersen,586
The Common Law,,Oliver Wendell Holmes,586
A Shropshire Lad,,A. E.  Housman,585
The Tragedy of Pudd'nhead Wilson,,Mark Twain,585
Fundamental Principles of the Metaphysic of Morals,,Immanuel Kant,584
The Ballad of the White Horse,,G. K.  Chesterton,584
Also sprach Zarathustra: Ein Buch für Alle und Keinen,,Friedrich Wilhelm Nietzsche,581
"What Men Live By, and Other Tales",,graf Leo Tolstoy,576
Anne of Avonlea,,L. M.  Montgomery,576
Tender Buttons,,Gertrude Stein,569
1811 Dictionary of the Vulgar Tongue,,Francis Grose,567
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,,Charles Mackay,567
西遊記,,Cheng'en Wu,566
Y Gododin: A Poem of the Battle of Cattraeth,,Aneirin,566
The Will to Power: An Attempted Transvaluation of All Values. Book I and II,,Nietzsche,564
My Bondage and My Freedom,,Frederick Douglass,564
Argonauts of the Western Pacific,,Bronislaw Malinowski,563
Silas Marner,,George Eliot,563
She Stoops to Conquer,The Mistakes of a Night: A Comedy,Oliver Goldsmith,563
As a man thinketh,,James Allen,562
The call of Cthulhu,,H. P.  Lovecraft,559
Paradise Lost,,John Milton,559
Pollyanna,,Eleanor H.  Porter,558
The Wind in the Willows,,Kenneth Grahame,557
The World as Will and Idea,,Arthur Schopenhauer,557
"Pamela, or Virtue Rewarded",,Samuel Richardson,556
Aldyth's inheritance,,Eglanton Thorne,556
Lady Windermere's Fan,,Oscar Wilde,555
Philosophiae Naturalis Principia Mathematica,,Isaac Newton,554
The Confessions of Jean Jacques Rousseau — Complete,,Jean-Jacques Rousseau,554
A Brief Account of the Destruction of the Indies,,Bartolomé de las Casas,554
Language of Flowers,,Kate Greenaway,553
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",,Giacomo Casanova,553
Myths of the Cherokee,,James Mooney,552
"""Everyman,"" with other interludes, including eight miracle plays",,,552
Herland,,Charlotte Perkins Gilman,551
Ghosts,,Henrik Ibsen,551
The Aesop for Children,,Aesop,550
"The Man-Eaters of Tsavo, and Other East African Adventures",,J. H.  Patterson,549
Little Dorrit,,Charles Dickens,547
"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",,Sherwood Anderson,545
